2017-07-16 15:38:55,669 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-16 15:38:55,671 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\workspace1\CounterWebApp\src\test\resources
2017-07-16 15:40:15,475 [Worker-29] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\workspace1\CounterWebApp
2017-07-16 15:40:15,477 [Worker-29] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B install
2017-07-16 15:40:21,386 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-16 15:40:21,388 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-16 15:40:21,389 [Worker-49] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-16 15:40:21,390 [Worker-49] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\workspace1\CounterWebApp\src\test\resources
2017-07-16 15:44:21,267 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-16 15:44:21,269 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-07-16 15:44:21,271 [Worker-47] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-16 15:44:21,274 [Worker-47] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\workspace1\CounterWebApp\src\test\resources
2017-07-16 15:44:36,688 [Worker-48] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2017-07-16 15:44:37,257 [Worker-48] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.mkyong:CounterWebApp:0.0.1-SNAPSHOT @ C:\workspace1\CounterWebApp\pom.xml.
2017-07-16 15:44:38,619 [Worker-48] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /CounterWebApp/src/main/java
2017-07-16 15:44:38,620 [Worker-48] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /CounterWebApp/src/main/resources
2017-07-16 15:44:38,621 [Worker-48] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /CounterWebApp/src/test/java
2017-07-16 15:44:38,989 [Worker-48] ERROR o.e.m2e.wtp.WTPProjectConfigurator - Unable to configure CounterWebApp
